modelo,experimento,generation,best_fitness,mean_fitness,best_recall_maligno,best_f1_maligno,best_parameters
Regressao Logistica,E3_exploratorio,9,0.9752598492599257,0.9663481887207891,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
Regressao Logistica,E3_exploratorio,10,0.9752598492599257,0.9664048343573981,0.9764705882352942,0.9710070764191465,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}"
KNN,E3_exploratorio,0,0.947532375946889,0.9272076467602242,0.9470588235294117,0.9444798593143823,"{""n_neighbors"": 1, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,1,0.9530276045289214,0.9365733794603408,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,2,0.9530276045289214,0.9340495068698553,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,3,0.9530276045289214,0.9409352175710255,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,4,0.9530276045289214,0.9391508897409881,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,5,0.9530276045289214,0.9432076961055649,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,6,0.9530276045289214,0.9408405594460191,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,7,0.9530276045289214,0.9427737150938751,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,8,0.9530276045289214,0.9442457930726014,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,9,0.9530276045289214,0.9384296762654644,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
KNN,E3_exploratorio,10,0.9530276045289214,0.9487688679258763,0.9470588235294116,0.9611860483677868,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
